Date,Time,date_time,air_temp,relative_humidity,wind_speed,wind_direction
12/31/22,16:00,2022-12-31 16:00:00,55,94,0,
12/31/22,16:31,2022-12-31 16:31:00,55,94,0,
12/31/22,16:46,2022-12-31 16:46:00,55,94,0,
12/31/22,17:01,2022-12-31 17:01:00,55,94,0,
12/31/22,17:31,2022-12-31 17:31:00,55,94,0,
12/31/22,17:45,2022-12-31 17:45:00,55,94,0,
12/31/22,18:00,2022-12-31 18:00:00,55,94,0,
12/31/22,18:30,2022-12-31 18:30:00,55,94,0,
12/31/22,18:45,2022-12-31 18:45:00,55,94,0,
12/31/22,19:00,2022-12-31 19:00:00,55,94,0,
12/31/22,19:30,2022-12-31 19:30:00,55,95,0,
12/31/22,19:45,2022-12-31 19:45:00,55,95,0,
12/31/22,20:00,2022-12-31 20:00:00,54,94,0,
12/31/22,20:30,2022-12-31 20:30:00,55,95,0,
12/31/22,20:45,2022-12-31 20:45:00,55,95,0,
12/31/22,21:00,2022-12-31 21:00:00,55,95,0,
12/31/22,21:30,2022-12-31 21:30:00,55,95,0,
12/31/22,21:45,2022-12-31 21:45:00,55,95,0,
12/31/22,22:00,2022-12-31 22:00:00,55,95,0,
12/31/22,22:30,2022-12-31 22:30:00,55,95,0,
12/31/22,22:45,2022-12-31 22:45:00,56,94,0,
12/31/22,23:00,2022-12-31 23:00:00,55,95,1,220
12/31/22,23:30,2022-12-31 23:30:00,54,94,2,
12/31/22,23:45,2022-12-31 23:45:00,54,94,2,291
01/01/23,00:00,2023-01-01 00:00:00,53,94,2,186
01/01/23,00:30,2023-01-01 00:30:00,52,95,2,246
01/01/23,00:45,2023-01-01 00:45:00,51,94,1,286
01/01/23,01:00,2023-01-01 01:00:00,51,94,1,291
01/01/23,01:30,2023-01-01 01:30:00,50,94,0,
01/01/23,01:45,2023-01-01 01:45:00,50,95,1,265
01/01/23,02:00,2023-01-01 02:00:00,50,95,0,
01/01/23,02:30,2023-01-01 02:30:00,49,95,0,
01/01/23,02:46,2023-01-01 02:46:00,49,95,0,
01/01/23,03:00,2023-01-01 03:00:00,49,95,0,
01/01/23,03:30,2023-01-01 03:30:00,48,94,0,
01/01/23,03:45,2023-01-01 03:45:00,48,94,0,
01/01/23,04:00,2023-01-01 04:00:00,48,94,0,
01/01/23,04:30,2023-01-01 04:30:00,47,94,0,
01/01/23,04:45,2023-01-01 04:45:00,47,95,0,
01/01/23,05:01,2023-01-01 05:01:00,46,94,0,
01/01/23,05:30,2023-01-01 05:30:00,47,95,0,
01/01/23,05:45,2023-01-01 05:45:00,48,95,0,
01/01/23,06:00,2023-01-01 06:00:00,48,94,0,
01/01/23,06:31,2023-01-01 06:31:00,47,94,0,
01/01/23,06:45,2023-01-01 06:45:00,47,94,0,
01/01/23,07:00,2023-01-01 07:00:00,47,94,0,
01/01/23,07:31,2023-01-01 07:31:00,48,94,1,250
01/01/23,07:45,2023-01-01 07:45:00,48,94,0,
01/01/23,08:00,2023-01-01 08:00:00,49,94,0,
01/01/23,08:30,2023-01-01 08:30:00,49,93,0,
01/01/23,08:45,2023-01-01 08:45:00,49,93,0,
01/01/23,09:00,2023-01-01 09:00:00,50,92,1,226
01/01/23,09:30,2023-01-01 09:30:00,51,90,1,
01/01/23,09:45,2023-01-01 09:45:00,52,86,2,270
01/01/23,10:00,2023-01-01 10:00:00,52,86,2,276
01/01/23,10:30,2023-01-01 10:30:00,53,84,1,
01/01/23,10:45,2023-01-01 10:45:00,54,80,2,292
01/01/23,11:00,2023-01-01 11:00:00,55,79,2,279
01/01/23,11:30,2023-01-01 11:30:00,55,78,1,282
01/01/23,11:45,2023-01-01 11:45:00,55,78,2,267
01/01/23,12:00,2023-01-01 12:00:00,55,78,1,228
01/01/23,12:30,2023-01-01 12:30:00,56,78,1,253
01/01/23,12:45,2023-01-01 12:45:00,56,76,1,256
01/01/23,13:00,2023-01-01 13:00:00,56,76,1,265
01/01/23,13:30,2023-01-01 13:30:00,55,77,1,
01/01/23,13:45,2023-01-01 13:45:00,56,74,1,260
01/01/23,14:00,2023-01-01 14:00:00,57,73,2,273
01/01/23,14:30,2023-01-01 14:30:00,58,71,2,269
01/01/23,14:45,2023-01-01 14:45:00,57,71,1,229
01/01/23,15:00,2023-01-01 15:00:00,57,73,1,234
01/01/23,15:30,2023-01-01 15:30:00,56,72,1,275
01/01/23,15:45,2023-01-01 15:45:00,56,72,0,
01/01/23,16:00,2023-01-01 16:00:00,55,75,0,
01/01/23,16:30,2023-01-01 16:30:00,54,78,1,275
01/01/23,16:45,2023-01-01 16:45:00,53,78,2,284
01/01/23,17:00,2023-01-01 17:00:00,53,79,2,259
01/01/23,17:30,2023-01-01 17:30:00,52,82,1,267
01/01/23,17:45,2023-01-01 17:45:00,51,84,0,
01/01/23,18:00,2023-01-01 18:00:00,51,85,0,
01/01/23,18:30,2023-01-01 18:30:00,51,84,0,
01/01/23,18:45,2023-01-01 18:45:00,50,83,0,
01/01/23,19:00,2023-01-01 19:00:00,49,85,0,
01/01/23,19:30,2023-01-01 19:30:00,48,87,0,
01/01/23,19:45,2023-01-01 19:45:00,48,88,0,
01/01/23,20:00,2023-01-01 20:00:00,47,89,0,
01/01/23,20:30,2023-01-01 20:30:00,47,90,0,
01/01/23,20:45,2023-01-01 20:45:00,46,90,0,
01/01/23,21:00,2023-01-01 21:00:00,46,90,0,
01/01/23,21:30,2023-01-01 21:30:00,46,91,0,
01/01/23,21:45,2023-01-01 21:45:00,46,91,0,
01/01/23,22:00,2023-01-01 22:00:00,46,91,0,
01/01/23,22:30,2023-01-01 22:30:00,45,91,0,
01/01/23,22:45,2023-01-01 22:45:00,45,91,0,
01/01/23,23:00,2023-01-01 23:00:00,45,91,0,
01/01/23,23:30,2023-01-01 23:30:00,45,91,0,
01/01/23,23:45,2023-01-01 23:45:00,45,91,0,
01/02/23,00:00,2023-01-02 00:00:00,44,89,0,
01/02/23,00:30,2023-01-02 00:30:00,44,89,0,
01/02/23,00:45,2023-01-02 00:45:00,44,90,0,
01/02/23,01:00,2023-01-02 01:00:00,44,90,0,
01/02/23,01:30,2023-01-02 01:30:00,44,90,0,
01/02/23,01:45,2023-01-02 01:45:00,44,89,0,
01/02/23,02:00,2023-01-02 02:00:00,44,89,0,
01/02/23,02:30,2023-01-02 02:30:00,44,88,0,
01/02/23,02:45,2023-01-02 02:45:00,43,83,0,
01/02/23,03:00,2023-01-02 03:00:00,43,82,0,
01/02/23,03:30,2023-01-02 03:30:00,43,82,0,
01/02/23,03:45,2023-01-02 03:45:00,42,84,0,
01/02/23,04:00,2023-01-02 04:00:00,42,86,0,
01/02/23,04:30,2023-01-02 04:30:00,42,86,0,
01/02/23,04:45,2023-01-02 04:45:00,43,83,0,
01/02/23,05:00,2023-01-02 05:00:00,43,82,0,
01/02/23,05:30,2023-01-02 05:30:00,45,75,0,
01/02/23,05:45,2023-01-02 05:45:00,46,75,0,
01/02/23,06:01,2023-01-02 06:01:00,46,74,0,
01/02/23,06:30,2023-01-02 06:30:00,45,78,0,
01/02/23,06:45,2023-01-02 06:45:00,45,78,0,
01/02/23,07:00,2023-01-02 07:00:00,44,81,0,
01/02/23,07:30,2023-01-02 07:30:00,43,81,0,
01/02/23,07:45,2023-01-02 07:45:00,44,81,0,
01/02/23,08:00,2023-01-02 08:00:00,44,81,0,
01/02/23,08:30,2023-01-02 08:30:00,45,79,0,
01/02/23,08:45,2023-01-02 08:45:00,47,76,0,
01/02/23,09:01,2023-01-02 09:01:00,49,73,0,
01/02/23,09:30,2023-01-02 09:30:00,51,66,0,
01/02/23,09:45,2023-01-02 09:45:00,52,67,0,
01/02/23,10:00,2023-01-02 10:00:00,52,66,0,
01/02/23,10:31,2023-01-02 10:31:00,53,67,0,
01/02/23,10:45,2023-01-02 10:45:00,53,65,0,
01/02/23,11:00,2023-01-02 11:00:00,53,64,0,
01/02/23,11:30,2023-01-02 11:30:00,54,66,0,
01/02/23,11:46,2023-01-02 11:46:00,54,63,0,
01/02/23,12:00,2023-01-02 12:00:00,53,65,0,
01/02/23,12:31,2023-01-02 12:31:00,53,66,0,
01/02/23,12:46,2023-01-02 12:46:00,53,71,0,
01/02/23,13:01,2023-01-02 13:01:00,52,73,0,
01/02/23,13:31,2023-01-02 13:31:00,52,77,0,
01/02/23,13:45,2023-01-02 13:45:00,52,78,0,
01/02/23,14:01,2023-01-02 14:01:00,52,79,0,
01/02/23,14:30,2023-01-02 14:30:00,52,78,0,
01/02/23,14:46,2023-01-02 14:46:00,52,76,0,
01/02/23,15:01,2023-01-02 15:01:00,52,77,0,
01/02/23,15:30,2023-01-02 15:30:00,51,78,0,
01/02/23,15:46,2023-01-02 15:46:00,51,79,0,
01/02/23,16:01,2023-01-02 16:01:00,51,81,0,
01/02/23,16:15,2023-01-02 16:15:00,50,83,0,
01/02/23,16:31,2023-01-02 16:31:00,50,83,0,
