Date,Time,date_time,air_temp,wind_direction,wind_speed,wind_gust
,,,Fahrenheit,Degrees,Miles/hour,Miles/hour
12/07/24,15:51,12/07/24-15:51,62.96,270,12.66,
12/07/24,14:51,12/07/24-14:51,66.02,260,13.81,
12/07/24,13:51,12/07/24-13:51,75.92,290,10.36,
12/07/24,12:51,12/07/24-12:51,77,300,10.36,
12/07/24,11:51,12/07/24-11:51,75.92,300,10.36,
12/07/24,10:51,12/07/24-10:51,80.06,,3.45,
12/07/24,09:51,12/07/24-09:51,75.02,20,6.91,
12/07/24,08:51,12/07/24-08:51,68,30,6.91,
12/07/24,07:51,12/07/24-07:51,57.92,0,0,
12/07/24,06:51,12/07/24-06:51,57.02,20,5.75,
12/07/24,05:51,12/07/24-05:51,60.08,40,6.91,
12/07/24,04:51,12/07/24-04:51,59,50,5.75,
12/07/24,03:51,12/07/24-03:51,62.06,40,11.51,
12/07/24,02:51,12/07/24-02:51,60.98,50,10.36,
12/07/24,01:51,12/07/24-01:51,62.96,30,10.36,
12/07/24,00:51,12/07/24-00:51,62.06,60,6.91,
12/06/24,23:51,12/06/24-23:51,60.08,40,9.21,
12/06/24,22:51,12/06/24-22:51,57.92,50,10.36,
12/06/24,21:51,12/06/24-21:51,55.04,0,0,
12/06/24,20:51,12/06/24-20:51,53.96,40,3.45,
12/06/24,19:51,12/06/24-19:51,57.02,250,3.45,
12/06/24,18:51,12/06/24-18:51,55.04,280,6.91,
12/06/24,17:51,12/06/24-17:51,59,290,3.45,
12/06/24,16:51,12/06/24-16:51,60.08,270,9.21,
12/06/24,15:51,12/06/24-15:51,66.02,280,12.66,
12/06/24,14:51,12/06/24-14:51,73.04,280,8.06,
12/06/24,13:51,12/06/24-13:51,71.96,290,10.36,
12/06/24,12:51,12/06/24-12:51,71.96,300,6.91,
12/06/24,11:51,12/06/24-11:51,68,300,6.91,
12/06/24,10:51,12/06/24-10:51,68,290,6.91,
12/06/24,09:51,12/06/24-09:51,62.06,290,9.21,
12/06/24,08:51,12/06/24-08:51,57.92,320,4.6,
12/06/24,08:19,12/06/24-08:19,53.06,,3.45,
12/06/24,08:08,12/06/24-08:08,50,290,3.45,
12/06/24,07:51,12/06/24-07:51,50,0,0,
12/06/24,06:51,12/06/24-06:51,46.04,0,0,
12/06/24,05:51,12/06/24-05:51,44.96,290,5.75,
12/06/24,05:01,12/06/24-05:01,46.04,0,0,
12/06/24,04:51,12/06/24-04:51,44.96,0,0,
12/06/24,04:47,12/06/24-04:47,44.6,270,3.45,
12/06/24,03:58,12/06/24-03:58,46.04,70,4.6,
12/06/24,03:55,12/06/24-03:55,46.4,70,4.6,
12/06/24,03:51,12/06/24-03:51,46.94,70,4.6,
12/06/24,03:10,12/06/24-03:10,48.2,0,0,
12/06/24,02:51,12/06/24-02:51,50,0,0,
12/06/24,01:51,12/06/24-01:51,51.08,0,0,
12/05/24,22:56,12/05/24-22:56,51.98,150,3.45,
12/05/24,22:51,12/05/24-22:51,50,130,3.45,
12/05/24,22:43,12/05/24-22:43,50,0,0,
12/05/24,21:51,12/05/24-21:51,50,180,3.45,
12/05/24,20:51,12/05/24-20:51,50,60,3.45,
12/05/24,20:46,12/05/24-20:46,50,0,0,
12/05/24,20:23,12/05/24-20:23,51.08,330,3.45,
12/05/24,20:07,12/05/24-20:07,51.08,30,3.45,
12/05/24,19:51,12/05/24-19:51,51.08,0,0,
12/05/24,18:51,12/05/24-18:51,53.06,0,0,
12/05/24,17:51,12/05/24-17:51,53.06,0,0,
12/05/24,16:51,12/05/24-16:51,55.94,0,0,
12/05/24,16:30,12/05/24-16:30,55.4,240,6.91,
12/05/24,15:51,12/05/24-15:51,57.92,240,9.21,
12/05/24,14:51,12/05/24-14:51,60.98,0,0,
12/05/24,13:51,12/05/24-13:51,57.02,0,0,
12/05/24,13:31,12/05/24-13:31,57.02,160,3.45,
12/05/24,12:51,12/05/24-12:51,55.04,260,9.21,
12/05/24,11:51,12/05/24-11:51,57.02,260,8.06,
12/05/24,10:51,12/05/24-10:51,55.94,230,3.45,
12/05/24,09:30,12/05/24-09:30,50,120,3.45,
12/05/24,09:02,12/05/24-09:02,50,270,4.6,
12/05/24,08:51,12/05/24-08:51,50,270,5.75,
12/05/24,08:25,12/05/24-08:25,48.2,260,8.06,
12/05/24,07:51,12/05/24-07:51,48.02,70,4.6,
12/05/24,07:43,12/05/24-07:43,48.02,60,6.91,
12/05/24,07:35,12/05/24-07:35,48.2,50,6.91,
12/05/24,07:23,12/05/24-07:23,48.02,50,4.6,
12/05/24,07:11,12/05/24-07:11,48.02,70,4.6,
12/05/24,06:51,12/05/24-06:51,46.04,90,3.45,
12/05/24,06:36,12/05/24-06:36,46.04,80,4.6,
