Date,Time,date_time,air_temp,relative_humidity,wind_speed,wind_gust
12/31/23,16:00,2023-12-31 16:00:00,56.7,74.49,8.35,10.96
12/31/23,16:10,2023-12-31 16:10:00,56.73,74.66,6.58,9.72
12/31/23,16:20,2023-12-31 16:20:00,56.67,75.1,5.59,8.04
12/31/23,16:30,2023-12-31 16:30:00,56.56,75.03,7.14,8.91
12/31/23,16:40,2023-12-31 16:40:00,56.42,75.08,4.36,7.01
12/31/23,16:50,2023-12-31 16:50:00,55.97,76.65,3.25,6.57
12/31/23,17:00,2023-12-31 17:00:00,55.64,77.7,6.33,8.4
12/31/23,17:10,2023-12-31 17:10:00,55.67,77.21,2.61,5.41
12/31/23,17:20,2023-12-31 17:20:00,55.49,78.11,1.44,2.7
12/31/23,17:30,2023-12-31 17:30:00,55.16,80.1,2.65,4.53
12/31/23,17:40,2023-12-31 17:40:00,54.61,81.8,6.17,8.04
12/31/23,17:50,2023-12-31 17:50:00,54.27,82.4,5.35,7.16
12/31/23,18:00,2023-12-31 18:00:00,54.3,81.6,4.59,6.79
12/31/23,18:10,2023-12-31 18:10:00,54.56,81.4,1.6,3.51
12/31/23,18:20,2023-12-31 18:20:00,55.19,79.41,0.66,1.9
12/31/23,18:30,2023-12-31 18:30:00,55.28,79.25,0.85,1.83
12/31/23,18:40,2023-12-31 18:40:00,54.64,81.5,1.74,2.34
12/31/23,18:50,2023-12-31 18:50:00,54.05,83.7,2.55,3.65
12/31/23,19:00,2023-12-31 19:00:00,53.71,85.3,1.58,2.34
12/31/23,19:10,2023-12-31 19:10:00,53.75,85.2,0.85,1.46
12/31/23,19:20,2023-12-31 19:20:00,53.95,84.8,1.89,3.43
12/31/23,19:30,2023-12-31 19:30:00,53.9,85.1,2.51,3.51
12/31/23,19:40,2023-12-31 19:40:00,53.88,85.7,3.56,4.45
12/31/23,19:50,2023-12-31 19:50:00,54,85.5,3.22,4.17
12/31/23,20:00,2023-12-31 20:00:00,53.79,85.1,3.54,4.97
12/31/23,20:10,2023-12-31 20:10:00,53,88.1,4.38,5.99
12/31/23,20:20,2023-12-31 20:20:00,53.46,86.8,6.08,7.67
12/31/23,20:30,2023-12-31 20:30:00,53.01,88.2,4.83,6.65
12/31/23,20:40,2023-12-31 20:40:00,52.93,88.6,3.69,5.91
12/31/23,20:50,2023-12-31 20:50:00,53.29,88.2,3.66,5.41
12/31/23,21:00,2023-12-31 21:00:00,53.24,88.3,4,5.26
12/31/23,21:10,2023-12-31 21:10:00,52.92,88.7,3.87,5.41
12/31/23,21:20,2023-12-31 21:20:00,52.95,89.3,2.78,3.73
12/31/23,21:30,2023-12-31 21:30:00,52.96,89.2,3.26,5.04
12/31/23,21:40,2023-12-31 21:40:00,52.93,89.5,3.5,4.82
12/31/23,21:50,2023-12-31 21:50:00,52.64,89.9,3.62,4.82
12/31/23,22:00,2023-12-31 22:00:00,52.32,90.8,4.51,5.85
12/31/23,22:10,2023-12-31 22:10:00,52.19,91.5,3.81,4.6
12/31/23,22:20,2023-12-31 22:20:00,52.31,91.6,3.5,4.17
12/31/23,22:30,2023-12-31 22:30:00,52.58,91.6,2.62,3.95
12/31/23,22:40,2023-12-31 22:40:00,52.6,91.3,1.58,2.49
12/31/23,22:50,2023-12-31 22:50:00,53.32,88.4,3.08,4.75
12/31/23,23:00,2023-12-31 23:00:00,53.53,87.1,5.55,6.79
12/31/23,23:10,2023-12-31 23:10:00,53.21,88.3,5.65,6.57
12/31/23,23:20,2023-12-31 23:20:00,52.85,89.2,6.01,6.79
12/31/23,23:30,2023-12-31 23:30:00,52.21,91.5,5.28,6.79
12/31/23,23:40,2023-12-31 23:40:00,52.11,91.9,5.29,6.87
12/31/23,23:50,2023-12-31 23:50:00,52.02,92.2,6.14,7.46
01/01/24,00:00,2024-01-01 00:00:00,52.27,90,5.7,7.01
01/01/24,00:10,2024-01-01 00:10:00,51.94,90.5,4.76,6.28
01/01/24,00:20,2024-01-01 00:20:00,52.64,85,6.1,7.74
01/01/24,00:30,2024-01-01 00:30:00,52.85,83.2,5.09,6.35
01/01/24,00:40,2024-01-01 00:40:00,52.85,82.7,4.66,7.01
01/01/24,00:50,2024-01-01 00:50:00,52.95,81.4,6.1,9.57
01/01/24,01:00,2024-01-01 01:00:00,52.75,80.3,7.49,11.18
01/01/24,01:10,2024-01-01 01:10:00,52.84,78.63,6.66,10.08
01/01/24,01:20,2024-01-01 01:20:00,52.08,85.4,5.42,7.81
01/01/24,01:30,2024-01-01 01:30:00,52.46,82.3,7.43,10.23
01/01/24,01:40,2024-01-01 01:40:00,52.32,80.1,7.15,8.77
01/01/24,01:50,2024-01-01 01:50:00,52.27,77.24,7.97,10.74
01/01/24,02:00,2024-01-01 02:00:00,51.93,79.13,6.95,9.94
01/01/24,02:10,2024-01-01 02:10:00,51.88,79.8,5.73,7.81
01/01/24,02:20,2024-01-01 02:20:00,51.57,79.12,5.05,6.87
01/01/24,02:30,2024-01-01 02:30:00,51.92,74.6,5.35,7.81
01/01/24,02:40,2024-01-01 02:40:00,51.87,74.62,6.19,8.33
01/01/24,02:50,2024-01-01 02:50:00,51.58,75.02,5.48,9.94
01/01/24,03:00,2024-01-01 03:00:00,51.44,74.95,3.32,5.78
01/01/24,03:10,2024-01-01 03:10:00,51.39,74.82,4.33,8.04
01/01/24,03:20,2024-01-01 03:20:00,51.91,71.65,4.85,6.87
01/01/24,03:30,2024-01-01 03:30:00,51.84,71.03,5.01,6.94
01/01/24,03:40,2024-01-01 03:40:00,52.01,68.76,6.16,10.3
01/01/24,03:50,2024-01-01 03:50:00,51.65,70.12,4.59,9.64
